"","year","month","neighbourhood","num_reviews","date"
"391","2016","07","Bijlmer-Oost",29,2016-07-01
"392","2016","07","Bos en Lommer",299,2016-07-01
"393","2016","07","Buitenveldert - Zuidas",46,2016-07-01
"394","2016","07","Centrum-Oost",671,2016-07-01
"395","2016","07","Centrum-West",913,2016-07-01
"396","2016","07","De Aker - Nieuw Sloten",57,2016-07-01
"397","2016","07","De Baarsjes - Oud-West",862,2016-07-01
"398","2016","07","De Pijp - Rivierenbuurt",676,2016-07-01
"399","2016","07","Gaasperdam - Driemond",42,2016-07-01
"400","2016","07","Geuzenveld - Slotermeer",44,2016-07-01
"401","2016","07","IJburg - Zeeburgereiland",83,2016-07-01
"402","2016","07","Noord-Oost",77,2016-07-01
"403","2016","07","Noord-West",126,2016-07-01
"404","2016","07","Oostelijk Havengebied - Indische Buurt",282,2016-07-01
"405","2016","07","Osdorp",37,2016-07-01
"406","2016","07","Oud-Noord",158,2016-07-01
"407","2016","07","Oud-Oost",309,2016-07-01
"408","2016","07","Slotervaart",121,2016-07-01
"409","2016","07","Watergraafsmeer",134,2016-07-01
"410","2016","07","Westerpark",446,2016-07-01
"411","2016","07","Zuid",323,2016-07-01
"412","2016","08","Bijlmer-Centrum",16,2016-08-01
"413","2016","08","Bijlmer-Oost",32,2016-08-01
"414","2016","08","Bos en Lommer",348,2016-08-01
"415","2016","08","Buitenveldert - Zuidas",50,2016-08-01
"416","2016","08","Centrum-Oost",673,2016-08-01
"417","2016","08","Centrum-West",1006,2016-08-01
"418","2016","08","De Aker - Nieuw Sloten",69,2016-08-01
"419","2016","08","De Baarsjes - Oud-West",1075,2016-08-01
"420","2016","08","De Pijp - Rivierenbuurt",804,2016-08-01
"421","2016","08","Gaasperdam - Driemond",45,2016-08-01
"422","2016","08","Geuzenveld - Slotermeer",73,2016-08-01
"423","2016","08","IJburg - Zeeburgereiland",138,2016-08-01
"424","2016","08","Noord-Oost",103,2016-08-01
"425","2016","08","Noord-West",161,2016-08-01
"426","2016","08","Oostelijk Havengebied - Indische Buurt",325,2016-08-01
"427","2016","08","Osdorp",38,2016-08-01
"428","2016","08","Oud-Noord",190,2016-08-01
"429","2016","08","Oud-Oost",348,2016-08-01
"430","2016","08","Slotervaart",134,2016-08-01
"431","2016","08","Watergraafsmeer",184,2016-08-01
"432","2016","08","Westerpark",500,2016-08-01
"433","2016","08","Zuid",444,2016-08-01
"434","2016","09","Bijlmer-Centrum",37,2016-09-01
"435","2016","09","Bijlmer-Oost",27,2016-09-01
"436","2016","09","Bos en Lommer",272,2016-09-01
"437","2016","09","Buitenveldert - Zuidas",40,2016-09-01
"438","2016","09","Centrum-Oost",691,2016-09-01
"439","2016","09","Centrum-West",982,2016-09-01
"440","2016","09","De Aker - Nieuw Sloten",74,2016-09-01
"441","2016","09","De Baarsjes - Oud-West",985,2016-09-01
"442","2016","09","De Pijp - Rivierenbuurt",835,2016-09-01
"443","2016","09","Gaasperdam - Driemond",27,2016-09-01
"444","2016","09","Geuzenveld - Slotermeer",36,2016-09-01
"445","2016","09","IJburg - Zeeburgereiland",79,2016-09-01
"446","2016","09","Noord-Oost",80,2016-09-01
"447","2016","09","Noord-West",115,2016-09-01
"448","2016","09","Oostelijk Havengebied - Indische Buurt",295,2016-09-01
"449","2016","09","Osdorp",35,2016-09-01
"450","2016","09","Oud-Noord",178,2016-09-01
"451","2016","09","Oud-Oost",310,2016-09-01
"452","2016","09","Slotervaart",130,2016-09-01
"453","2016","09","Watergraafsmeer",158,2016-09-01
"454","2016","09","Westerpark",511,2016-09-01
"455","2016","09","Zuid",376,2016-09-01
"456","2016","10","Bijlmer-Centrum",30,2016-10-01
"457","2016","10","Bijlmer-Oost",26,2016-10-01
"458","2016","10","Bos en Lommer",343,2016-10-01
"459","2016","10","Buitenveldert - Zuidas",55,2016-10-01
"460","2016","10","Centrum-Oost",786,2016-10-01
"461","2016","10","Centrum-West",1039,2016-10-01
"462","2016","10","De Aker - Nieuw Sloten",75,2016-10-01
"463","2016","10","De Baarsjes - Oud-West",1012,2016-10-01
"464","2016","10","De Pijp - Rivierenbuurt",834,2016-10-01
"465","2016","10","Gaasperdam - Driemond",28,2016-10-01
"466","2016","10","Geuzenveld - Slotermeer",52,2016-10-01
"467","2016","10","IJburg - Zeeburgereiland",98,2016-10-01
"468","2016","10","Noord-Oost",82,2016-10-01
"469","2016","10","Noord-West",126,2016-10-01
"470","2016","10","Oostelijk Havengebied - Indische Buurt",321,2016-10-01
"471","2016","10","Osdorp",40,2016-10-01
"472","2016","10","Oud-Noord",198,2016-10-01
"473","2016","10","Oud-Oost",339,2016-10-01
"474","2016","10","Slotervaart",134,2016-10-01
"475","2016","10","Watergraafsmeer",141,2016-10-01
"476","2016","10","Westerpark",510,2016-10-01
"477","2016","10","Zuid",406,2016-10-01
"478","2016","11","Bijlmer-Centrum",29,2016-11-01
"479","2016","11","Bijlmer-Oost",31,2016-11-01
"480","2016","11","Bos en Lommer",206,2016-11-01
"481","2016","11","Buitenveldert - Zuidas",16,2016-11-01
"482","2016","11","Centrum-Oost",575,2016-11-01
"483","2016","11","Centrum-West",836,2016-11-01
"484","2016","11","De Aker - Nieuw Sloten",48,2016-11-01
"485","2016","11","De Baarsjes - Oud-West",693,2016-11-01
"486","2016","11","De Pijp - Rivierenbuurt",540,2016-11-01
"487","2016","11","Gaasperdam - Driemond",14,2016-11-01
"488","2016","11","Geuzenveld - Slotermeer",26,2016-11-01
"489","2016","11","IJburg - Zeeburgereiland",68,2016-11-01
"490","2016","11","Noord-Oost",48,2016-11-01
"491","2016","11","Noord-West",96,2016-11-01
"492","2016","11","Oostelijk Havengebied - Indische Buurt",217,2016-11-01
"493","2016","11","Osdorp",13,2016-11-01
"494","2016","11","Oud-Noord",163,2016-11-01
"495","2016","11","Oud-Oost",255,2016-11-01
"496","2016","11","Slotervaart",111,2016-11-01
"497","2016","11","Watergraafsmeer",104,2016-11-01
"498","2016","11","Westerpark",341,2016-11-01
"499","2016","11","Zuid",241,2016-11-01
"500","2016","12","Bijlmer-Centrum",27,2016-12-01
"501","2016","12","Bijlmer-Oost",13,2016-12-01
